"movie_name","movie_url","movie_opening","movie_weekend","movie_firstweek","movie_total","movie_total_worldwide","movie_genre","movie_movierelease","movie_director","movie_director_url","movie_banner","movie_producer","movie_stars","movie_details"
"Angrezi Medium","https://www.bollywoodmdb.com/movies/hindi-medium-2/16445",": 4.03 cr",": 9.03 cr",": 9.36 cr",": 9.36 cr",": 13.50 cr","Drama, Comedy","13 March, 2020 | 2 hrs 25 mins","Homi Adajania","https://www.bollywoodmdb.com/celebrities/homi-adajania/13608","Banner : Maddock Films, Jio Studios","Producer : Dinesh Vijan , Jyoti Deshpande","Star : Irrfan Khan , Radhika Madan, Kareena Kapoor","When his daughter decides to further her studies in London, a hardworking Rajasthani businessman does everything in power to make her dreams come true."
"Baaghi 3","https://www.bollywoodmdb.com/movies/baaghi-3/16444",": 17.50 cr",": 53.83 cr",": 90.67 cr",": 93.37 cr",": 137 cr","Action","06 March, 2020 | 2 hrs 27 mins","Ahmed Khan","https://www.bollywoodmdb.com/celebrities/ahmed-khan/4219","Banner : Nadiadwala Grandson Entertainment, Fox Star Studios","Producer : Sajid Nadiadwala","Star : Tiger Shroff , Shraddha Kapoor, Riteish Deshmukh","A man embarks on a bloody rampage to save his kidnapped brother."
"Thappad","https://www.bollywoodmdb.com/movies/thappad/16643",": 3.07 cr",": 14.66 cr",": 22.79 cr",": 30.61 cr",": 44.50 cr","Drama, Social","28 February, 2020 | 2 hrs 22 mins","Anubhav Sinha","https://www.bollywoodmdb.com/celebrities/anubhav-sinha/4215","Banner : Benaras Media Works, T-Series Super Cassettes Industries Ltd.","Producer : Bhushan Kumar , Krishan Kumar, Anubhav Sinha","Star : Taapsee Pannu , Pavail Gulati, Dia Mirza","Thappad is a story of Amrita whose seemingly perfect life is shattered when her husband slaps her once in a party. But is one slap enough to question what a relationship stands for?"
"Shubh Mangal Zyada Saavdhan","https://www.bollywoodmdb.com/movies/shubh-mangal-zyada-saavdhan/16586",": 9.55 cr",": 32.66 cr",": 44.84 cr",": 62.78 cr",": 86.39 cr","Comedy, Romance","21 February, 2020 | 2 hrs","Hitesh Kewalya","https://www.bollywoodmdb.com/celebrities/hitesh-kewalya/35183","Banner : Colour Yellow Productions Pvt Ltd, T-Series Super Cassettes Industries Ltd.","Producer : Aanand L Rai , Himanshu Sharma, Bhushan Kumar","Star : Ayushman Khurana , Jitendra Kumar, Gajraj Rao","The road to achieving a happy ending is a little too rough for Kartik and Aman. While Aman's family tries hard to battle his love for Kartik, Kartik isn't prepared to step back until he marries Aman."
"Bhoot: Part One - The Haunted Ship","https://www.bollywoodmdb.com/movies/bhoot-part-one-the-haunted-ship/16606",": 5.10 cr",": 16.36 cr",": 24.18 cr",": 31.97 cr",": 40.94 cr","Horror","21 February, 2020 | 1 hrs 57 mins","Bhanu Pratap Singh","https://www.bollywoodmdb.com/celebrities/bhanu-pratap-singh/36834","Banner : Dharma Productions, Zee Studios","Producer : Hiroo Johar , Karan Johar, Apoorva Mehta","Star : Vicky Kaushal , Bhumi Pednekar, Ashutosh Rana","A couple is trapped on an abandoned ship lying static on a beach."
"Love Aaj Kal","https://www.bollywoodmdb.com/movies/aaj-kal/16576",": 12 cr",": 26 cr",": 32.60 cr",": 34.99 cr",": 52.60 cr","Romance","14 February, 2020 | 2 hrs 21 mins","Imtiaz Ali","https://www.bollywoodmdb.com/celebrities/imtiaz-ali/4483","Banner : Maddock Films, Jio Studios, Reliance Entertainment","Producer : Dinesh Vijan , Imtiaz Ali","Star : Kartik Aaryan , Sara Ali Khan, Arushi Sharma","Two different individuals on a journey of love, loss and life through the phases of Reincarnation."
"Malang","https://www.bollywoodmdb.com/movies/malang/16343",": 6.71 cr",": 25.36 cr",": 39.65 cr",": 58.04 cr",": 76.30 cr","Romance, Action","07 February, 2020 | 2 hrs 14 mins","Mohit Suri","https://www.bollywoodmdb.com/celebrities/mohit-suri/4646","Banner : Luv Films, Northern Lights Films, T-Series Super Cassettes Industries Ltd.","Producer : Bhushan Kumar , Krishan Kumar, Luv Ranjan","Star : Aditya Roy Kapur , Disha Patani, Anil Kapoor","Advait visits Goa where he meets Sara, a free-spirited girl who lives life unshackled. Opposites attract and all goes well until life turns upside down. Years later, Advait is on a killing spree with cops Aghase and Michael in his way."
"Shikara","https://www.bollywoodmdb.com/movies/shikara-a-love-letter-from-kashmir/16657",": 1.20 cr",": 4.95 cr",": 6.70 cr",": 7.95 cr",": ---","Drama, Romance","07 February, 2020 | 2 hrs","Vidhu Vinod Chopra","https://www.bollywoodmdb.com/celebrities/vidhu-vinod-chopra/5247","Banner : Fox Star Studios","Producer : Vidhu Vinod Chopra","Star : Sadia , Aadil Khan","Shikara is the story of resilience in the face of insurmountable odds. It's also the story of a love that remains unextinguished through 30 years of exile. A timeless love story in the worst of times."
"Jawaani Jaaneman","https://www.bollywoodmdb.com/movies/jawani-janeman/16525",": 3.24 cr",": 12.83 cr",": 20.21 cr",": 27.91 cr",": 43.83 cr","Comedy, Drama","31 January, 2020 | 1 hrs 59 mins","Nitin Kakkar","https://www.bollywoodmdb.com/celebrities/nitin-kakkar/29626","Banner : Pooja Entertainment, Black Knight Films, Northern Lights Films","Producer : Jackky Bhagnani , Deepshikha Deshmukh, Saif Ali Khan","Star : Saif Ali Khan , Alaya F, Tabu","A 40 year-old playboy's life turns upside down when he comes to know that he has a 20 something year-old daughter."
"Panga","https://www.bollywoodmdb.com/movies/panga/16513",": 2.70 cr",": 14.91 cr",": 21.36 cr",": 25.64 cr",": 41.58 cr","Sports, Drama","24 January, 2020 | 2 hrs 9 mins","Ashwiny Iyer Tiwari","https://www.bollywoodmdb.com/celebrities/ashwiny-iyer-tiwari/34210","Banner : Fox Star Studios","Producer : Fox Star Studios","Star : Kangana Ranaut , Jassie Gill, Richa Chadda","Panga is inspired from the life of a national level Kabbadi player from India. It follows her triumphs, struggle and overcoming of stereotypes. It shows how important the love and support of your family is for you to be successful."
"Street Dancer 3D","https://www.bollywoodmdb.com/movies/varun-dhawan-katrina-kaif-s-next/16451",": 10.26 cr",": 41.23 cr",": 56.77 cr",": 74.22 cr",": 95.70 cr","Dance","24 January, 2020 | 2 hrs 24 mins","Remo D'Souza","https://www.bollywoodmdb.com/celebrities/remo-d-souza/23614","Banner : T-Series Super Cassettes Industries Ltd., Remo D'Souza Entertainment","Producer : Bhushan Kumar , Divya Khosla Kumar, Krishan Kumar","Star : Varun Dhawan , Shraddha Kapoor, Prabhu Deva","A coming-of-age story based on the lives of street dancers."
"Tanhaji: The Unsung Warrior","https://www.bollywoodmdb.com/movies/taanaji-the-unsung-warrior/16366",": 15.10 cr",": 61.75 cr",": 118.91 cr",": 276.90 cr",": 341 cr","Historical, Action","10 January, 2020 | 2 hrs 14 mins","Om Raut","https://www.bollywoodmdb.com/celebrities/om-raut/23786","Banner : T-Series Super Cassettes Industries Ltd., Ajay Devgn Ffilms","Producer : Ajay Devgn , Bhushan Kumar, Krishan Kumar","Star : Ajay Devgn , Saif Ali Khan, Kajol","It is based on the life of Tanaji Malusare, a 17th-century Maharashtrian Marathi military leader."
"Chhapaak","https://www.bollywoodmdb.com/movies/chhapaak/16542",": 4.77 cr",": 19.02 cr",": 28.38 cr",": 32.48 cr",": 55.38 cr","Drama","10 January, 2020 | 2 hrs 3 mins","Meghna Gulzar","https://www.bollywoodmdb.com/celebrities/meghna-gulzar/4641","Banner : Fox Star Studios, Ka Productions, Mriga Films","Producer : Fox Star Studios , Deepika Padukone, Govind Singh Sandhu","Star : Deepika Padukone , Vikrant Massey, Madhurjeet Sarghi","The trials and triumphs of Malti, an acid attack survivor. From the investigation of the attack to the court proceedings, the medical treatment to the emotional healing. Chhapaak is the story of the unquashable human spirit."
"Good Newwz","https://www.bollywoodmdb.com/movies/good-news/16504",": 17.56 cr",": 64.99 cr",": 127.90 cr",": 201.14 cr",": 304.71 cr","Comedy","27 December, 2019 | 2 hrs 14 mins","Raj Mehta","https://www.bollywoodmdb.com/celebrities/raj-mehta/36240","Banner : Dharma Productions, Cape of Good Films, Zee Studios","Producer : Hiroo Johar , Aruna Bhatia, Karan Johar","Star : Akshay Kumar , Kareena Kapoor, Diljit Dosanjh","Two couples with the same surnames pursue in-vitro fertilization and wait for their upcoming babies. Trouble ensues when they find that the sperms of each couple have been mixed with each other."
"Dabangg 3","https://www.bollywoodmdb.com/movies/dabangg-3/16074",": 24.50 cr",": 81.15 cr",": 126.55 cr",": 145.90 cr",": 212.87 cr","Action","20 December, 2019 | 2 hrs 43 mins","Prabhu Deva","https://www.bollywoodmdb.com/celebrities/prabhu-deva/7003","Banner : Salman Khan Films, Saffron Broadcast & Media Limited, Arbaaz Khan Productions","Producer : Salma Khan , Arbaaz Khan, Nikhil Dwivedi","Star : Salman Khan , Sonakshi Sinha, Saiee M Manjrekar","Chulbul Pandey encounters an enemy from his past, and his origin story as the fearless cop unfolds."
